objectName,count,percent,objectName_Group,objectName_extra
Vase,1162,26.84,Vase,
Bottle,720,16.63,Bottle,
Jar,564,13.03,Jar,
Jug,246,5.68,Jug,
Ewer,210,4.85,Ewer,
Tea jar,94,2.17,Jar,Tea
Vessel,81,1.87,Vessel,
Covered jar,78,1.8,Jar,Covered
Pitcher,59,1.36,Pitcher,
Bottle vase,47,1.09,Bottle vase,
Vase with cover,43,0.99,Vase,With Cover
Albarello,39,0.9,Albarello,
Pharmacy jar,39,0.9,Jar,Pharmacy
Jar with cover,37,0.85,Jar,With Cover
Wine bottle,34,0.79,Bottle,Wine
Scent bottle,31,0.72,Bottle,Scent
Moon flask,28,0.65,Flask,Moon
Cream jug,28,0.65,Jug,Cream
Water jar,26,0.6,Jar,Water
Amphora,25,0.58,Amphora,
Lekythos,22,0.51,Lekythos,
Oinochoe,16,0.37,Oinochoe,
Sake bottle,16,0.37,Bottle,Sake
Flask,15,0.35,Flask,
Pot,14,0.32,Pot,
Figure,14,0.32,Figure,
Neck-amphora,14,0.32,Amphora,Neck-amphora
Storage jar,14,0.32,Jar,Storage
Pilgrim bottle,13,0.3,Bottle,Pilgrim
Urn,13,0.3,Urn,
Water pot,11,0.25,Pot,Water
Water bottle,10,0.23,Bottle,Water
Flower vase,10,0.23,Vase,Flower
Lamp,10,0.23,Lamp,
Oil bottle,9,0.21,Bottle,Oil
Juglet,9,0.21,Juglet,
Jug with cover,8,0.18,Jug,cover
Pilgrim flask,7,0.16,Flask,Pilgrim
Squat lekythos,7,0.16,Lekythos,Squat
Beaker,7,0.16,Beaker,
Amphoriskos,6,0.14,Amphoriskos,
Milk jug with cover,6,0.14,Jug,"Milk, cover"
Alabastron,6,0.14,Alabastron,
Freshwater jar (mizusashi),6,0.14,Jar,"Freshwater, mizusashi"
Hanging vase,6,0.14,Vase,Hanging
Tea jar with cover,6,0.14,Jar,"Tea, cover"
"Hydria, kalpis",6,0.14,Hydria,kalpis
Water coupe,6,0.14,Water coupe,
"Hydria, Hadra",5,0.12,Hydria,Hadra
Vase with lid,5,0.12,Vase,lid
Apothecary bottle,5,0.12,Bottle,Apothecary
Puzzle jug,5,0.12,Jug,Puzzle
Potpourri vase,5,0.12,Vase,Potpourri
Pharmacy jar with cover,5,0.12,Jar,"Pharmacy, cover"
Milk jug,5,0.12,Jug,Milk
Toby jug,5,0.12,Jug,Toby
Apothecary jar,5,0.12,Jar,Apothecary
Bead,4,0.09,Bead,
Apothecary vase,4,0.09,Vase,Apothecary
Group,4,0.09,Group,
Wall vase,4,0.09,Vase,Wall
False-necked jar,4,0.09,Jar,False-necked
Bottle cooler,4,0.09,Bottle,cooler
Spill vase,4,0.09,Vase,Spill
Hot milk jug,4,0.09,Jug,Hot milk
Jar with lid,4,0.09,Jar,lid
Covered ewer,4,0.09,Ewer,Covered
Flower pot,4,0.09,Pot,Flower
Pelike,4,0.09,Pelike,
"Oinochoe, chous",4,0.09,Oinochoe,chous
Square bottle,4,0.09,Bottle,Square
Wine ewer,3,0.07,Ewer,Wine
Nolan neck-amphora with triple handles,3,0.07,amphora,"Nolan, neck-amphora, triple handles"
Coffeepot,3,0.07,Coffeepot,
Milk pot with cover,3,0.07,Pot,"Milk, cover"
Tripod,3,0.07,Tripod,
Beads,3,0.07,Beads,
Hydria,3,0.07,Hydria,
Wine jar,3,0.07,Jar,Wine
Guttus,3,0.07,Guttus,
Lidded jar,3,0.07,Jar,Lidded
"Beaker, black topped",3,0.07,Beaker,black topped
Skyphos,3,0.07,Skyphos,
Vessel with lid,3,0.07,Vessel,lid
Ewer with cover,3,0.07,Ewer,cover
Cream pitcher,3,0.07,Pitcher,Cream
Garniture,3,0.07,Garniture,
"Amphora, Type B",3,0.07,Amphora,Type B
Jar and cover,3,0.07,Jar,cover
Goblet,3,0.07,Goblet,
"Amphora, Type A",3,0.07,Amphora,Type A
Lid,3,0.07,Lid,
Askos in the form of an animal,3,0.07,Askos,in the form of an animal
Toilet jar with cover,3,0.07,Jar,"Toilet, cover"
Covered vase,2,0.05,Vase,Covered
Freshwater jar,2,0.05,Jar,Freshwater
Harvest jug,2,0.05,Jug,Harvest
Spindle bottle,2,0.05,Bottle,Spindle
Funerary urn,2,0.05,Urn,Funerary
Water jug,2,0.05,Jug,Water
Milk pot,2,0.05,Pot,Milk
Loutrophoros,2,0.05,Loutrophoros,
Strainer,2,0.05,Strainer,
"Vase, miniature",2,0.05,Vase,miniature
Square flask,2,0.05,Flask,Square
Minature vase,2,0.05,Vase,Minature
Askos,2,0.05,Askos,
Vase with stopper,2,0.05,Vase,stopper
Toilet jar,2,0.05,Jar,Toilet
Pilgrim bottle with cover,2,0.05,Bottle,"Pilgrim, cover"
Stamnos,2,0.05,Stamnos,
Cream pot,2,0.05,Pot,Cream
Askos in the form of a duck,2,0.05,Askos,in the form of a duck
Syrup jug,2,0.05,Jug,Syrup
Hanging flower vase,2,0.05,Vase,Hanging flower
Pedestal jar,2,0.05,Jar,Pedestal
Clove boiler,2,0.05,Pot,Clove boiler
Wine pot,2,0.05,Pot,Wine
Gallipot,2,0.05,Gallipot,
Perfume vase,2,0.05,Vase,Perfume
Footed urn,2,0.05,Urn,Footed
Incense burner,2,0.05,Incense burner,
Rosewater jug,2,0.05,Jug,Rosewater
"Jug, barrel-shaped",2,0.05,Jug,barrel-shaped
Rhyton in the form of a deer's head,2,0.05,Rhyton ,in the form of a deer's head
Nolan neck-amphora,2,0.05,Amphora,"Nolan, neck-amphora"
Lidded vase,2,0.05,Vase,Lidded
Water Jar,2,0.05,Jar,Water
Wine ewer with lid,2,0.05,Ewer,"Wine, lid"
Ceramic,2,0.05,Ceramic,
Situla,2,0.05,Situla,
Bottle with stopper,2,0.05,Bottle,stopper
Aryballos,2,0.05,Aryballos,
Krater,2,0.05,Krater,
Pithoid jar,2,0.05,Jar,Pithoid
Epichysis,2,0.05,Epichysis,
Waster,2,0.05,Waster,
Book flask,2,0.05,Flask,Book
Toy,2,0.05,Toy,
Spindle whorl,2,0.05,Spindle whorl,
Lid of jug,1,0.02,Jug,Lid of
Inkwell,1,0.02,Inkwell,
Lebes gamikos,1,0.02,Lebes gamikos,
Aryballos in the form of a siren,1,0.02,Aryballos,in the form of a siren
Stirrup jar,1,0.02,Jar,Stirrup
Alabastron in the form of a woman,1,0.02,Alabastron,in the form of a woman
Neck-amphora with twisted handles,1,0.02,Amphora,"Neck-amphora, twisted handles"
Mustard pot,1,0.02,Pot,Mustard
Funnel-jar,1,0.02,Jar,Funnel
Vase in the form of a pig,1,0.02,Vase,in the form of a pig
Vase in the form of a sleeping black African boy,1,0.02,Vase,in the form of a sleeping black African boy
"Jar, miniature",1,0.02,Jar,miniature
Vase in the form of a basket,1,0.02,Vase,in the form of a basket
"Krater, miniature",1,0.02,Krater,miniature
Vase in the form of a monkey,1,0.02,Vase,in the form of a monkey
Aryballos in the form of a helmeted head,1,0.02,Aryballos,in the form of a helmeted head
"Oinochoe, miniature",1,0.02,Oinochoe,miniature
Alabastron in the form of a hare,1,0.02,Alabastron,in the form of a hare
Ladle,1,0.02,Ladle,
"Lamp, saucer-shaped",1,0.02,Lamp,saucer-shaped
Kalathos,1,0.02,Kalathos,
"Lekanis with lid, miniature",1,0.02,Lekanis,"lid, miniature"
"Canopic jar, human head, bearded",1,0.02,Jar,"Canopic , human head, bearded"
Toddy jug,1,0.02,Jug,Toddy
"Beaker, white cross-lined ware",1,0.02,Beaker,white cross-lined ware
"Beaker, black-topped",1,0.02,Beaker,black-topped
"Vessel, decorated ware, spouted",1,0.02,Vessel,"decorated ware, spouted"
"Beaker, hippos",1,0.02,Beaker,hippos
"Juglet, Tell el-Yahudiya",1,0.02,Juglet,Tell el-Yahudiya
"Vase, Amenhotep, two handled",1,0.02,Vase,"Amenhotep, two handled"
"Jar, red polished ware",1,0.02,Jar,red polished ware
"Vessel, horse or camel",1,0.02,Vessel,horse or camel
"Jar, wavy lines",1,0.02,Jar,wavy lines
"Vessel, bird-shaped",1,0.02,Vessel,bird-shaped
"Jar, Decorated ware",1,0.02,Jar,Decorated ware
Roundel,1,0.02,Roundel,
Mold,1,0.02,Mold,
Pod lid,1,0.02,Lid,Pod
Base,1,0.02,Base,
Sculpture or whistle,1,0.02,Sculpture or whistle,
Spheroconical Vessel,1,0.02,Vessel,Spheroconical
Whistle,1,0.02,Whistle,
Bean pot,1,0.02,Pot,Bean
Pilgrim vase,1,0.02,Vase,Pilgrim
Slop jar,1,0.02,Jar,Slop
Tobacco jar,1,0.02,Jar,Tobacco
Column-krater,1,0.02,Krater,Column
Rhyton in the form of a lamb's head,1,0.02,Rhyton in the form of a lamb's head,
"Askos, ring",1,0.02,Askos,ring
Neck-amphora of Panathenaic shape,1,0.02,Amphora,"Neck-amphora, of Panathenaic shape"
Lydion,1,0.02,Lydion,
Kyathos,1,0.02,Kyathos,
"Beaker, Black-topped red ware",1,0.02,Beaker,Black-topped red ware
"Jar, two-handled, Ruiu",1,0.02,Jar,"two-handled, Ruiu"
Tumbler,1,0.02,Tumbler,
"Juglet, Cypriot, ring based",1,0.02,Juglet,"Cypriot, ring based"
Honey pot,1,0.02,Pot,Honey
Seal impression,1,0.02,Seal impression,
"Amphora, miniature",1,0.02,Amphora,miniature
Neck-pelike,1,0.02,Neck-pelike,
Lekanis with lid,1,0.02,Lid,Lekanis with
Nestoris,1,0.02,Nestoris,
"Kylix, stemless",1,0.02,Kylix,stemless
Vase in the form of a fish,1,0.02,Vase,in the form of a fish
Volute-krater,1,0.02,Krater,Volute
Amphora with lid,1,0.02,Amphora,lid
Water pot and cover,1,0.02,Pot,Water and cover
Oon,1,0.02,Oon,
"Vase, funerary, wedding scene",1,0.02,Vase,"funerary, wedding scene"
Calyx-krater,1,0.02,Krater,Calyx
Ring-kernos,1,0.02,Ring-kernos,
Jug in the form of Dionysos,1,0.02,Jug,in the form of Dionysos
"Jug, sauceboat",1,0.02,Jug,sauceboat
"Aryballos, ring",1,0.02,Aryballos,ring
Plemochoe,1,0.02,Plemochoe,
Aryballos in the form of a bird,1,0.02,Aryballos,in the form of a bird
"Flask, globular",1,0.02,Flask,globular
Bucket,1,0.02,Bucket,
"Beaker, classic Kerma",1,0.02,Beaker,classic Kerma
"Beaker, white cross-lined ware, Nile River scene",1,0.02,Beaker,"white cross-lined ware, Nile River scene"
"Jar, black topped",1,0.02,Jar,black topped
"Jar, Wavy-handled",1,0.02,Jar,Wavy-handled
"Jar, decorated ware, boats",1,0.02,Jar,"decorated ware, boats"
Vase with strainer and spout,1,0.02,Vase,strainer and spout
Tea caddy with cover,1,0.02,Tea caddy with cover,
"Hydria, miniature",1,0.02,Hydria,miniature
Puzzle bottle,1,0.02,Bottle,Puzzle
Pomade jar,1,0.02,Jar,Pomade
Snuff bottle,1,0.02,Bottle,Snuff
Pitcher with cover,1,0.02,Pitcher,cover
Gourd-shaped bottle,1,0.02,Bottle,Gourd-shaped
Storage or pharmacy jar,1,0.02,Jar,Storage or pharmacy
Water bottle or flask,1,0.02,Bottle,Water or flask
Miniature vase,1,0.02,Vase,Miniature
Bottle with cover,1,0.02,Bottle,cover
Tazza with cover,1,0.02,Tazza with cover,
Wine vessel,1,0.02,Vessel,Wine
Pharmacy Jar,1,0.02,Jar,Pharmacy
Apothecary jug,1,0.02,Jug,Apothecary
Ampulla (Flask) of Saint Menas,1,0.02,Flask,"Ampulla, of Saint Menas"
Milk or hot water jug,1,0.02,Jug,"Milk, hot water"
Pomade pot with cover,1,0.02,Pot,"Pomade, cover"
Bottle jug,1,0.02,Bottle,jug
Mortuary urn,1,0.02,Urn,Mortuary
Hot water jug,1,0.02,Jug,Hot water
Brazier,1,0.02,Brazier,
Miniature orb vase,1,0.02,Vase,Miniature orb
Funerary jar,1,0.02,Jar,Funerary
Jar or Fire-holder,1,0.02,Jar,Fire-holder
Aquamanile,1,0.02,Aquamanile,
Spherical vase,1,0.02,Vase,Spherical
Potpourri jar,1,0.02,Jar,Potpourri
Bottle with handles,1,0.02,Bottle,handles
Saltcellar,1,0.02,Saltcellar,
Storage Jar,1,0.02,Jar,Storage
Urn with lid,1,0.02,Urn,lid
Covered Lime pot,1,0.02,Pot,Covered Lime
Globular vase,1,0.02,Vase,Globular
Pen washer,1,0.02,Pen washer,
Pillow base,1,0.02,Pillow base,
Ginger jar,1,0.02,Jar,Ginger
Globular jar,1,0.02,Jar,Globular
Footed jar,1,0.02,Jar,Footed
Kendi,1,0.02,Kendi,
Miniature moon flask,1,0.02,Flask,Miniature moon
Watering pot,1,0.02,Pot,Watering
Tea caddy (natsume),1,0.02,Tea caddy (natsume),
Water pitcher,1,0.02,Pitcher,Water
Urn with cover,1,0.02,Urn,cover
Minature bottle,1,0.02,Bottle,Minature
Cong-form vase,1,0.02,Vase,Cong-form
Hand warmer or flask,1,0.02,Flask,Hand warmer or
Glass cooler,1,0.02,Glass cooler,
Jar with Cover,1,0.02,Jar,Cover
Water jar with spout,1,0.02,Jar,Water with spout
jar,1,0.02,Jar,
Hot milk pot,1,0.02,Pot,Hot milk
Pilgrim bottle with screw top,1,0.02,Bottle,Pilgrim with screw top
Askos in the form of a bull,1,0.02,Askos,in the form of a bull
Figural vessel,1,0.02,Vessel,Figural
Brush holder,1,0.02,Brush holder,
Clock vase,1,0.02,Vase,Clock
Covered water vessel,1,0.02,Vessel,Covered water
Table decoration (?),1,0.02,Table decoration (?),
"Canopic Jar, Ruiu, human head, Hapy",1,0.02,Jar,"Canopic , Ruiu, human head, Hapy"
"Hydria, Hadra (foot)",1,0.02,Hydria,Hadra (foot)
Panathenaic prize amphora,1,0.02,Amphora,
Dinos,1,0.02,Dinos,
Thymiaterion,1,0.02,Thymiaterion,
Askos in the form of a lobster claw,1,0.02,Askos,in the form of a lobster claw
Statuette of a woman,1,0.02,Statuette of a woman,
"Flask, head-shaped",1,0.02,Flask,head-shaped
"Vase, relief",1,0.02,Vase,relief
"Flask, lentoid",1,0.02,Flask,lentoid
"Jug, side-beaked",1,0.02,Jug,side-beaked
"Jug, miniature",1,0.02,Jug,miniature
Vase in the form of a bird,1,0.02,Vase,in the form of a bird
Juglet in the form of a horn,1,0.02,Juglet,in the form of a horn
Nicosthenic neck-amphora,1,0.02,Neck-amphora,"Neck-amphora, Nicosthenic"
Aidoion,1,0.02,Aidoion,
Neck-amphora with lid,1,0.02,Amphora,"Neck-amphora, lid"
Censer,1,0.02,Censer,
Kero,1,0.02,Kero,
Caddy,1,0.02,Caddy,
Powder horn,1,0.02,Powder horn,
Holder for magic straws,1,0.02,Holder for magic straws,
Dipper,1,0.02,Dipper,
Pharmacy or storage jar,1,0.02,Jar,Pharmacy or storage
Meiping vase,1,0.02,Vase,Meiping
Writer's water bottle,1,0.02,Bottle,Writer's water
Sake ewer,1,0.02,Ewer,Sake
Cake jar,1,0.02,Jar,Cake
Wine jug,1,0.02,Jug,Wine
Pharmacy bottle,1,0.02,Bottle,Pharmacy
Milk pitcher,1,0.02,Pitcher,Milk
Ampulla,1,0.02,Ampulla,
Hot milk jug with cover,1,0.02,Jug,Hot milk cover
Baluster jar,1,0.02,Jar,Baluster
Vase or jar,1,0.02,Jar,Vase or
Pomade pot,1,0.02,Pot,Pomade
Covered pot,1,0.02,Pot,Covered
Bottle and cover,1,0.02,Bottle,cover
Ring flask,1,0.02,Flask,Ring
Double vase,1,0.02,Vase,Double
Covered flask,1,0.02,Flask,Covered
Mosque lamp,1,0.02,Lamp,Mosque
Perfume bottle,1,0.02,Bottle,Perfume
Potpourri jar with cover,1,0.02,Jar,Potpourri cover
Cider jug,1,0.02,Jug,Cider
Olpe,1,0.02,Olpe,
,,,,
