objectName,count,percent,objectName_Group,objectName_extra
Vase,1136,26.61,Vase,
Bottle,720,16.87,Bottle,
Jar,564,13.21,Jar,
Jug,246,5.76,Jug,
Ewer,210,4.92,Ewer,
Tea jar,94,2.2,Jar,Tea
Vessel,81,1.9,Vessel,
Covered jar,78,1.83,Jar,Covered
Pitcher,59,1.38,Pitcher,
Bottle vase,47,1.1,Bottle vase,
Pharmacy jar,39,0.91,Jar,Pharmacy
Albarello,39,0.91,Albarello,
Vase with cover,39,0.91,Vase,With Cover
Wine bottle,34,0.8,Bottle,Wine
Jar with cover,34,0.8,Jar,Cover
Scent bottle,31,0.73,Bottle,Scent
Cream jug,28,0.66,Jug,Cream
Moon flask,28,0.66,Flask,Moon
Water jar,26,0.61,Jar,Water
Amphora,25,0.59,Amphora,
Lekythos,22,0.52,Lekythos,
Sake bottle,16,0.37,Bottle,Sake
Oinochoe,16,0.37,Oinochoe,
Flask,15,0.35,Flask,
Neck-amphora,14,0.33,Amphora,Neck-amphora
Storage jar,14,0.33,Jar,Storage
Figure,14,0.33,Figure,
Pot,14,0.33,Pot,
Urn,13,0.3,Urn,
Pilgrim bottle,13,0.3,Bottle,Pilgrim
Water pot,11,0.26,Pot,Water
Lamp,10,0.23,Lamp,
Flower vase,10,0.23,Vase,Flower
Water bottle,10,0.23,Bottle,Water
Juglet,9,0.21,Juglet,
Oil bottle,9,0.21,Bottle,Oil
Jug with cover,8,0.19,Jug,cover
Pilgrim flask,7,0.16,Flask,Pilgrim
Squat lekythos,7,0.16,Lekythos,Squat
Beaker,7,0.16,Beaker,
Hanging vase,6,0.14,Vase,Hanging
Alabastron,6,0.14,Alabastron,
Freshwater jar (mizusashi),6,0.14,Jar,"Freshwater, mizusashi"
"Hydria, kalpis",6,0.14,Hydria,kalpis
Tea jar with cover,6,0.14,Jar,"Tea, cover"
Water coupe,6,0.14,Water coupe,
Amphoriskos,6,0.14,Amphoriskos,
Milk jug with cover,6,0.14,Jug,"Milk, cover"
Apothecary jar,5,0.12,Jar,Apothecary
Puzzle jug,5,0.12,Jug,Puzzle
Potpourri vase,5,0.12,Vase,Potpourri
Pharmacy jar with cover,5,0.12,Jar,"Pharmacy, cover"
Milk jug,5,0.12,Jug,Milk
Vase with lid,5,0.12,Vase,lid
Apothecary bottle,5,0.12,Bottle,Apothecary
"Hydria, Hadra",5,0.12,Hydria,Hadra
Toby jug,5,0.12,Jug,Toby
"Oinochoe, chous",4,0.09,Oinochoe,chous
Pelike,4,0.09,Pelike,
Bottle cooler,4,0.09,Bottle,cooler
Wall vase,4,0.09,Vase,Wall
Hot milk jug,4,0.09,Jug,Hot milk
False-necked jar,4,0.09,Jar,False-necked
Spill vase,4,0.09,Vase,Spill
Square bottle,4,0.09,Bottle,Square
Flower pot,4,0.09,Pot,Flower
Apothecary vase,4,0.09,Vase,Apothecary
Covered ewer,4,0.09,Ewer,Covered
Jar with lid,4,0.09,Jar,lid
Goblet,3,0.07,Goblet,
"Amphora, Type A",3,0.07,Amphora,Type A
Milk pot with cover,3,0.07,Pot,"Milk, cover"
Coffeepot,3,0.07,Coffeepot,
Wine ewer,3,0.07,Ewer,Wine
Guttus,3,0.07,Guttus,
Nolan neck-amphora with triple handles,3,0.07,amphora,"Nolan, neck-amphora, triple handles"
Wine jar,3,0.07,Jar,Wine
Hydria,3,0.07,Hydria,
"Amphora, Type B",3,0.07,Amphora,Type B
Skyphos,3,0.07,Skyphos,
