objectId,department,final_date,geo_options,geo_LLM_best_guess_location_normalized,geo_LLM_source_cols,geo_LLM_confidence,geo_LLM_geo_eligible
44793,Asian Art,50,||||||||China||,China,culture,0.55,true
44817,Asian Art,-1750,||||||||Japan||,Japan,culture,0.55,true
44830,Asian Art,200,||||||||Japan||,Japan,culture,0.55,true
44862,Asian Art,1669,||||||||Japan||,Japan,culture,0.55,true
44907,Asian Art,0,||||||||Japan||,Japan,culture,0.55,true
44953,Asian Art,549,||||||||Korea||,Korea,culture,0.55,true
44973,Asian Art,550,||||||||Korea||,Korea,culture,0.55,true
44974,Asian Art,499,||||||||Korea||,Korea,culture,0.55,true
44977,Asian Art,1799,||||||||Korea||,Korea,culture,0.55,true
45205,Asian Art,1374,||||||||Japan||,Japan,culture,0.55,true
45365,Asian Art,1149,||||||||Japan||,Japan,culture,0.55,true
45432,Asian Art,1774,||||||||Korea||,Korea,culture,0.55,true
45482,Asian Art,1750,||||||||Japan||,Japan,culture,0.55,true
45484,Asian Art,1749,||||||||Japan||,Japan,culture,0.55,true
45527,Asian Art,1649,||||||||Japan||,Japan,culture,0.55,true
45529,Asian Art,-3000,||||||||Japan||,Japan,culture,0.55,true
45550,Asian Art,1399,||||||||Japan||,Japan,culture,0.55,true
45552,Asian Art,1724,||||||||Japan||,Japan,culture,0.55,true
45553,Asian Art,1774,||||||||Japan||,Japan,culture,0.55,true
45554,Asian Art,1783,||||||||Japan||,Japan,culture,0.55,true
45555,Asian Art,1783,||||||||Japan||,Japan,culture,0.55,true
45556,Asian Art,1850,||||||||Japan||,Japan,culture,0.55,true
45732,Asian Art,1849,||||||||Japan||,Japan,culture,0.55,true
45828,Asian Art,1680,||||||||Japan||,Japan,culture,0.55,true
45829,Asian Art,1749,||||||||China||,China,culture,0.55,true
45830,Asian Art,1849,||||||||China||,China,culture,0.55,true
45832,Asian Art,1734,||||||||China||,China,culture,0.55,true
45896,Asian Art,1765,||||||||China||,China,culture,0.55,true
45900,Asian Art,1683,||||||||China||,China,culture,0.55,true
45904,Asian Art,1720,||||||||Japan||,Japan,culture,0.55,true
45907,Asian Art,1692,||||||||China||,China,culture,0.55,true
45908,Asian Art,1716,||||||||China||,China,culture,0.55,true
45909,Asian Art,1833,||||||||China||,China,culture,0.55,true
45912,Asian Art,1716,||||||||China||,China,culture,0.55,true
45913,Asian Art,1781,||||||||China||,China,culture,0.55,true
45914,Asian Art,1849,||||||||China||,China,culture,0.55,true
45915,Asian Art,1824,||||||||China||,China,culture,0.55,true
45917,Asian Art,1820,||||||||Japan||Japanese,Japan,culture,0.55,true
45918,Asian Art,1830,||||||||Japan||,Japan,culture,0.55,true
45919,Asian Art,1777,||||||||China||,China,culture,0.55,true
45923,Asian Art,1765,||||||||China||,China,culture,0.55,true
45929,Asian Art,1749,||||||||China||,China,culture,0.55,true
45930,Asian Art,1849,||||||||China||,China,culture,0.55,true
45932,Asian Art,1810,||||||||China||,China,culture,0.55,true
45934,Asian Art,1600,||||||||China||,China,culture,0.55,true
45937,Asian Art,1824,||||||||China||,China,culture,0.55,true
45938,Asian Art,1849,||||||||China||,China,culture,0.55,true
45939,Asian Art,1800,||||||||China||,China,culture,0.55,true
45945,Asian Art,1760,||||||||Japan||,Japan,culture,0.55,true
45959,Asian Art,1849,||||||||Japan||,Japan,culture,0.55,true
45962,Asian Art,1730,||||||||Japan||Japanese,Japan,culture,0.55,true
45964,Asian Art,1824,||||||||China||,China,culture,0.55,true
45965,Asian Art,1695,||||||||China||,China,culture,0.55,true
45967,Asian Art,1799,||||||||Japan||,Japan,culture,0.55,true
45970,Asian Art,1694,||||||||China||,China,culture,0.55,true
45972,Asian Art,1855,||||||||Japan||,Japan,culture,0.55,true
45974,Asian Art,1849,||||||||Japan||,Japan,culture,0.55,true
45977,Asian Art,1820,||||||||Japan||,Japan,culture,0.55,true
45979,Asian Art,1849,||||||||China||,China,culture,0.55,true
45980,Asian Art,1780,||||||||Japan||Japanese,Japan,culture,0.55,true
45984,Asian Art,1835,||||||||China||,China,culture,0.55,true
45985,Asian Art,1783,||||||||Japan||,Japan,culture,0.55,true
45986,Asian Art,1765,||||||||China||,China,culture,0.55,true
45987,Asian Art,1749,||||||||Japan||,Japan,culture,0.55,true
45989,Asian Art,1749,||||||||Japan||,Japan,culture,0.55,true
45990,Asian Art,1500,||||||||China||,China,culture,0.55,true
45992,Asian Art,1747,||||||||China||,China,culture,0.55,true
45994,Asian Art,1711,||||||||China||,China,culture,0.55,true
45997,Asian Art,1883,||||||||Japan||Japanese,Japan,culture,0.55,true
45998,Asian Art,1765,||||||||China||,China,culture,0.55,true
45999,Asian Art,1850,||||||||Japan||,Japan,culture,0.55,true
46000,Asian Art,1820,||||||||Japan||,Japan,culture,0.55,true
46001,Asian Art,1749,||||||||Japan||,Japan,culture,0.55,true
46003,Asian Art,1749,||||||||China||,China,culture,0.55,true
46004,Asian Art,1816,||||||||China||,China,culture,0.55,true
46008,Asian Art,1655,||||||||China||,China,culture,0.55,true
46011,Asian Art,1119,||||||||China||,China,culture,0.55,true
46016,Asian Art,1550,||||||||China||,China,culture,0.55,true
46017,Asian Art,1549,||||||||China||,China,culture,0.55,true
46021,Asian Art,1849,||||||||China or Japan (?)||,China,culture,0.35,true
46022,Asian Art,1749,||||||||China||,China,culture,0.55,true
46024,Asian Art,1800,||||||||China||,China,culture,0.55,true
46025,Asian Art,1783,||||||||China||,China,culture,0.55,true
46029,Asian Art,1749,||||||||China||,China,culture,0.55,true
46030,Asian Art,1849,||||||||China||,China,culture,0.55,true
46032,Asian Art,7,||||||||China||,China,culture,0.55,true
46033,Asian Art,574,||||||||China||,China,culture,0.55,true
46040,Asian Art,1749,||||||||China||,China,culture,0.55,true
46042,Asian Art,1680,||||||||Japan||,Japan,culture,0.55,true
46043,Asian Art,1750,||||||||China||,China,culture,0.55,true
46044,Asian Art,1549,||||||||China||,China,culture,0.55,true
46045,Asian Art,1781,||||||||China||,China,culture,0.55,true
46046,Asian Art,1483,||||||||China||,China,culture,0.55,true
46047,Asian Art,1695,||||||||China||,China,culture,0.55,true
46048,Asian Art,1749,||||||||China||,China,culture,0.55,true
46049,Asian Art,1810,||||||||China||,China,culture,0.55,true
46050,Asian Art,1692,||||||||China||,China,culture,0.55,true
46051,Asian Art,1749,||||||||China||,China,culture,0.55,true
46053,Asian Art,1692,||||||||China||,China,culture,0.55,true
46054,Asian Art,7,||||||||China||,China,culture,0.55,true
46055,Asian Art,1549,||||||||China||,China,culture,0.55,true
46057,Asian Art,1692,||||||||China||,China,culture,0.55,true
46058,Asian Art,100,||||||||China||,China,culture,0.55,true
46059,Asian Art,1750,||||||||China||,China,culture,0.55,true
46060,Asian Art,1749,||||||||China||,China,culture,0.55,true
46061,Asian Art,1499,||||||||China||,China,culture,0.55,true
46062,Asian Art,1783,||||||||China||,China,culture,0.55,true
46063,Asian Art,1692,||||||||China||,China,culture,0.55,true
46064,Asian Art,1506,||||||||China||,China,culture,0.55,true
46066,Asian Art,1765,||||||||China||,China,culture,0.55,true
46067,Asian Art,1749,||||||||China||,China,culture,0.55,true
46068,Asian Art,1319,||||||||China||,China,culture,0.55,true
46071,Asian Art,1506,||||||||China||,China,culture,0.55,true
46074,Asian Art,1750,||||||||China||,China,culture,0.55,true
46075,Asian Art,1716,||||||||China||,China,culture,0.55,true
46076,Asian Art,1849,||||||||China||,China,culture,0.55,true
46077,Asian Art,1524,||||||||China||,China,culture,0.55,true
46078,Asian Art,1849,||||||||China||,China,culture,0.55,true
46080,Asian Art,1734,||||||||China||,China,culture,0.55,true
46081,Asian Art,1824,||||||||China||,China,culture,0.55,true
46082,Asian Art,1695,||||||||China||,China,culture,0.55,true
46083,Asian Art,1750,||||||||China||,China,culture,0.55,true
46084,Asian Art,1849,||||||||China||,China,culture,0.55,true
46086,Asian Art,1781,||||||||China||,China,culture,0.55,true
46087,Asian Art,1700,||||||||China||,China,culture,0.55,true
46090,Asian Art,1700,||||||||Japan||,Japan,culture,0.55,true
46092,Asian Art,499,||||||||Japan||,Japan,culture,0.55,true
46094,Asian Art,1683,||||||||China||,China,culture,0.55,true
46097,Asian Art,1695,||||||||China||,China,culture,0.55,true
46099,Asian Art,1695,||||||||China||,China,culture,0.55,true
46103,Asian Art,1860,||||||||Japan||,Japan,culture,0.55,true
46104,Asian Art,1849,||||||||China||,China,culture,0.55,true
46105,Asian Art,1774,||||||||China||,China,culture,0.55,true
46106,Asian Art,1849,||||||||China||,China,culture,0.55,true
46110,Asian Art,1765,||||||||China||,China,culture,0.55,true
46114,Asian Art,1830,||||||||Japan||,Japan,culture,0.55,true
46116,Asian Art,1649,||||||||China||,China,culture,0.55,true
46120,Asian Art,1849,||||||||China||,China,culture,0.55,true
46121,Asian Art,1695,||||||||China||,China,culture,0.55,true
46123,Asian Art,1799,||||||||China||,China,culture,0.55,true
46124,Asian Art,1749,||||||||China||,China,culture,0.55,true
46125,Asian Art,1780,||||||||China||,China,culture,0.55,true
46126,Asian Art,1802,||||||||China||,China,culture,0.55,true
46129,Asian Art,1506,||||||||China||,China,culture,0.55,true
46130,Asian Art,1751,||||||||China||,China,culture,0.55,true
46131,Asian Art,1672,||||||||China||,China,culture,0.55,true
46137,Asian Art,1765,||||||||China||,China,culture,0.55,true
46138,Asian Art,1692,||||||||China||,China,culture,0.55,true
46139,Asian Art,1695,||||||||China||,China,culture,0.55,true
46140,Asian Art,1695,||||||||China||,China,culture,0.55,true
46141,Asian Art,1695,||||||||China||,China,culture,0.55,true
46142,Asian Art,1749,||||||||China||,China,culture,0.55,true
46143,Asian Art,1749,||||||||China||,China,culture,0.55,true
46144,Asian Art,1749,||||||||China||,China,culture,0.55,true
46146,Asian Art,1749,||||||||China||,China,culture,0.55,true
46147,Asian Art,1749,||||||||China||,China,culture,0.55,true
46148,Asian Art,1749,||||||||China||,China,culture,0.55,true
46149,Asian Art,1749,||||||||China||,China,culture,0.55,true
46150,Asian Art,1695,||||||||China||,China,culture,0.55,true
46151,Asian Art,1694,||||||||China||,China,culture,0.55,true
46152,Asian Art,1833,||||||||China||,China,culture,0.55,true
46153,Asian Art,1749,||||||||China||,China,culture,0.55,true
46154,Asian Art,1692,||||||||China||,China,culture,0.55,true
46155,Asian Art,1692,||||||||China||,China,culture,0.55,true
46156,Asian Art,1692,||||||||China||,China,culture,0.55,true
46157,Asian Art,1672,||||||||China||,China,culture,0.55,true
46158,Asian Art,1692,||||||||China||,China,culture,0.55,true
46159,Asian Art,1849,||||||||China||,China,culture,0.55,true
46160,Asian Art,1506,||||||||China||,China,culture,0.55,true
46161,Asian Art,1691,||||||||China||,China,culture,0.55,true
46162,Asian Art,1749,||||||||China||,China,culture,0.55,true
46163,Asian Art,1694,||||||||China||,China,culture,0.55,true
46235,Asian Art,1849,||||||||China||,China,culture,0.55,true
46249,Asian Art,1849,||||||||China||,China,culture,0.55,true
46250,Asian Art,1849,||||||||China||,China,culture,0.55,true
46268,Asian Art,404,||||||||China||,China,culture,0.55,true
46269,Asian Art,310,||||||||China||,China,culture,0.55,true
46306,Asian Art,1849,||||||||China||,China,culture,0.55,true
46315,Asian Art,1849,||||||||China||,China,culture,0.55,true
46317,Asian Art,1816,||||||||China||,China,culture,0.55,true
46330,Asian Art,1729,||||||||China||,China,culture,0.55,true
46331,Asian Art,1749,||||||||China||,China,culture,0.55,true
46333,Asian Art,1824,||||||||China||,China,culture,0.55,true
46353,Asian Art,1824,||||||||China||,China,culture,0.55,true
46378,Asian Art,1749,||||||||China||,China,culture,0.55,true
46379,Asian Art,1749,||||||||China||,China,culture,0.55,true
46380,Asian Art,1749,||||||||China||,China,culture,0.55,true
46422,Asian Art,1783,||||||||China||,China,culture,0.55,true
46425,Asian Art,1783,||||||||China||,China,culture,0.55,true
46434,Asian Art,1800,||||||||China||,China,culture,0.55,true
46435,Asian Art,1749,||||||||China||,China,culture,0.55,true
46436,Asian Art,1824,||||||||China||,China,culture,0.55,true
46462,Asian Art,1749,||||||||China||,China,culture,0.55,true
46478,Asian Art,1749,||||||||Japan||,Japan,culture,0.55,true
46481,Asian Art,1850,||||||||Japan||,Japan,culture,0.55,true
46501,Asian Art,1849,||||||||China||,China,culture,0.55,true
46507,Asian Art,1711,||||||||China||,China,culture,0.55,true
46508,Asian Art,1694,||||||||China||,China,culture,0.55,true
