objectID,hue_group,mean_hue,distance_to_anchor,hue_weight,mean_saturation,swatches_used,used_source_fallback,source_manual_groups
46871,blue,220.0065,0.0065,0.241228,0.336185,3,False,"[""blue""]"
49352,blue,219.8661,0.1339,0.351429,0.502838,4,False,"[""blue""]"
46024,blue,220.4052,0.4052,0.338041,0.404755,5,False,"[""blue""]"
46331,blue,219.5391,0.4609,0.657414,0.675438,7,False,"[""blue""]"
45915,blue,218.5714,1.4286,0.02584,0.142857,1,False,"[""blue""]"
451349,blue,218.14,1.86,0.493578,0.501606,7,False,"[""blue""]"
46530,blue,222.323,2.323,0.433506,0.491411,4,False,"[""blue""]"
47295,blue,217.6688,2.3312,0.4581,0.479776,5,False,"[""blue""]"
48647,blue,217.4288,2.5712,0.303148,0.313994,5,False,"[""blue""]"
444495,blue,217.3383,2.6617,0.249926,0.521192,4,False,"[""blue""]"
460717,blue,216.842,3.158,0.775114,0.830794,5,False,"[""blue""]"
446217,blue,216.6956,3.3044,0.117068,0.195068,3,False,"[""blue""]"
460715,blue,216.4688,3.5312,0.574155,0.629132,5,False,"[""blue""]"
42740,blue,223.6953,3.6953,0.660932,0.67894,5,False,"[""blue""]"
42216,blue,215.6123,4.3877,0.49991,0.517742,7,False,"[""blue""]"
50848,blue,215.5867,4.4133,0.347231,0.398861,5,False,"[""blue""]"
444508,blue,215.0721,4.9279,0.319732,0.605564,3,False,"[""blue""]"
448448,blue,214.989,5.011,0.271712,0.289332,5,False,"[""blue""]"
42213,blue,214.4145,5.5855,0.345295,0.358372,7,False,"[""blue""]"
46923,blue,225.6077,5.6077,0.588472,0.631583,4,False,"[""blue""]"
46927,blue,214.0792,5.9208,0.555196,0.692326,4,False,"[""blue""]"
450460,blue,212.7273,7.2727,0.003323,0.102804,1,False,"[""blue_green_family""]"
708306,blue,212.4056,7.5944,0.613348,0.626656,7,False,"[""blue""]"
194291,blue,228.7469,8.7469,0.406617,0.45071,4,False,"[""blue""]"
444481,blue,228.7903,8.7903,0.501892,0.686354,4,False,"[""blue""]"
53765,blue,210.8825,9.1175,0.466417,0.497538,7,False,"[""cyan""]"
48254,blue,229.728,9.728,0.10455,0.151121,4,False,"[""blue_green_family""]"
771030,blue,231.5604,11.5604,0.288072,0.539334,3,False,"[""blue""]"
52916,blue,208.3354,11.6646,0.142985,0.151472,3,False,"[""blue""]"
46071,blue,207.2775,12.7225,0.211803,0.305421,4,False,"[""blue""]"
46962,blue,206.9243,13.0757,0.771844,0.798923,6,False,"[""blue""]"
48565,blue,233.7951,13.7951,0.069357,0.124302,3,False,"[""blue_green_family""]"
42212,blue,205.9081,14.0919,0.262013,0.281069,6,False,"[""blue""]"
46016,blue,205.538,14.462,0.451988,0.508664,4,False,"[""blue""]"
770951,blue,205.0611,14.9389,0.412853,0.869675,3,False,"[""cyan""]"
49850,blue,204.5558,15.4442,0.457485,0.466412,7,False,"[""blue""]"
52739,blue,204.0,16.0,0.238446,0.370937,2,False,"[""blue_green_family""]"
62559,blue,202.3521,17.6479,0.369007,0.400663,5,False,"[""blue""]"
448430,blue,237.8112,17.8112,0.203215,0.328074,3,False,"[""blue""]"
447072,blue,237.8178,17.8178,0.052963,0.200523,3,False,"[""blue_green_family""]"
46921,blue,201.829,18.171,0.853897,0.896158,5,False,"[""blue""]"
15595,blue,201.8047,18.1953,0.733934,0.762362,5,False,"[""blue""]"
49351,blue,201.2683,18.7317,0.182657,0.190305,5,False,"[""blue""]"
46809,blue,201.0523,18.9477,0.28228,0.382341,4,False,"[""cyan""]"
46124,blue,200.8641,19.1359,0.827087,0.861258,6,False,"[""blue""]"
770946,blue,200.5809,19.4191,0.628508,0.840138,5,False,"[""cyan""]"
45992,blue,200.4112,19.5888,0.787367,0.830176,4,False,"[""blue""]"
50942,blue,239.6044,19.6044,0.32186,0.378869,3,False,"[""blue""]"
51041,blue,199.3803,20.6197,0.122296,0.135833,2,False,"[""blue""]"
42413,blue,199.0889,20.9111,0.124978,0.131482,6,False,"[""blue""]"
449063,blue,198.4716,21.5284,0.239739,0.297125,4,False,"[""blue""]"
48331,blue,198.2269,21.7731,0.863621,0.895834,6,False,"[""blue""]"
46634,blue,198.2198,21.7802,0.251172,0.26382,6,False,"[""blue""]"
76452,blue,198.1967,21.8033,0.192904,0.250999,4,False,"[""blue""]"
771028,blue,197.8807,22.1193,0.821344,0.91901,4,False,"[""cyan""]"
46979,blue,197.8374,22.1626,0.401854,0.429639,4,False,"[""blue""]"
770913,blue,197.5746,22.4254,0.516231,0.87501,4,False,"[""cyan""]"
46025,blue,196.9839,23.0161,0.79683,0.814836,6,False,"[""cyan""]"
771081,blue,196.8671,23.1329,0.805733,0.909759,5,False,"[""cyan""]"
46068,blue,196.8634,23.1366,0.637166,0.654624,7,False,"[""cyan""]"
770916,blue,196.773,23.227,0.549573,0.857482,4,False,"[""cyan""]"
47373,blue,196.5236,23.4764,0.764285,0.785558,6,False,"[""cyan""]"
770914,blue,196.503,23.497,0.544262,0.885657,4,False,"[""cyan""]"
47290,blue,196.5023,23.4977,0.749254,0.772728,6,False,"[""cyan""]"
46081,blue,243.5283,23.5283,0.033803,0.166452,4,False,"[""blue""]"
451362,blue,196.2336,23.7664,0.790254,0.837582,6,False,"[""cyan""]"
48661,blue,196.2181,23.7819,0.797522,0.814049,6,False,"[""cyan""]"
770931,blue,196.0979,23.9021,0.574341,0.870202,4,False,"[""cyan""]"
670806,blue,195.6915,24.3085,0.511425,0.529956,7,False,"[""cyan""]"
450459,blue,244.6321,24.6321,0.313154,0.599285,3,False,"[""blue""]"
47305,blue,195.2328,24.7672,0.914049,0.944129,5,False,"[""cyan""]"
770971,blue,194.7671,25.2329,0.617514,0.96022,2,False,"[""cyan""]"
45986,blue,194.5915,25.4085,0.731939,0.765696,5,False,"[""blue""]"
447138,blue,245.5622,25.5622,0.155807,0.22466,4,False,"[""blue""]"
658676,blue,193.8507,26.1493,0.764475,0.764475,8,False,"[""cyan""]"
451361,blue,193.5771,26.4229,0.755243,0.802138,6,False,"[""cyan""]"
771066,blue,193.4727,26.5273,0.76145,0.843296,4,False,"[""cyan""]"
46557,blue,193.1839,26.8161,0.007612,0.115108,2,False,"[""celadon"",""blue_green_family""]"
208036,blue,246.9015,26.9015,0.175481,0.21897,5,False,"[""blue""]"
448441,blue,193.0078,26.9922,0.629993,0.638424,5,False,"[""cyan""]"
451363,blue,192.9802,27.0198,0.723177,0.831598,5,False,"[""cyan""]"
770977,blue,192.3621,27.6379,0.510553,0.84706,4,False,"[""cyan""]"
771026,blue,191.6179,28.3821,0.643706,0.902266,5,False,"[""cyan""]"
51218,blue,191.6087,28.3913,0.488288,0.488288,8,False,"[""cyan""]"
48566,blue,191.1755,28.8245,0.738251,0.779842,5,False,"[""blue""]"
42468,blue,190.176,29.824,0.199919,0.204905,7,False,"[""blue""]"
3469,blue,189.9941,30.0059,0.099471,0.205411,4,False,"[""blue_green_family""]"
47439,blue,189.9235,30.0765,0.789637,0.816471,6,False,"[""cyan""]"
46029,blue,189.8949,30.1051,0.739767,0.756058,6,False,"[""blue""]"
46959,blue,189.8211,30.1789,0.727198,0.749955,7,False,"[""cyan""]"
46620,blue,189.7014,30.2986,0.332574,0.400701,5,False,"[""cyan""]"
206107,blue,189.3938,30.6062,0.319121,0.794995,3,False,"[""cyan""]"
46044,blue,189.2611,30.7389,0.466844,0.508538,7,False,"[""cyan""]"
670804,blue,189.0825,30.9175,0.550126,0.855093,5,False,"[""cyan""]"
451364,blue,188.9254,31.0746,0.48557,0.523371,6,False,"[""cyan""]"
46077,blue,188.751,31.249,0.285058,0.505321,5,False,"[""cyan""]"
42477,blue,188.3242,31.6758,0.095077,0.1049,6,False,"[""blue_green_family"",""blue_green_family""]"
