objectID,color_kmeans_cluster,color_kmeans_k,color_kmeans_feature_version
2292,6,24,lab_slots_ab_hist_rel_v2
2432,1,24,lab_slots_ab_hist_rel_v2
2473,18,24,lab_slots_ab_hist_rel_v2
2539,5,24,lab_slots_ab_hist_rel_v2
2635,10,24,lab_slots_ab_hist_rel_v2
2636,10,24,lab_slots_ab_hist_rel_v2
2646,-1,24,lab_slots_ab_hist_rel_v2
2647,-1,24,lab_slots_ab_hist_rel_v2
2737,18,24,lab_slots_ab_hist_rel_v2
3463,1,24,lab_slots_ab_hist_rel_v2
3469,22,24,lab_slots_ab_hist_rel_v2
3561,8,24,lab_slots_ab_hist_rel_v2
3563,-1,24,lab_slots_ab_hist_rel_v2
3761,-1,24,lab_slots_ab_hist_rel_v2
4480,18,24,lab_slots_ab_hist_rel_v2
4508,8,24,lab_slots_ab_hist_rel_v2
4585,7,24,lab_slots_ab_hist_rel_v2
4895,10,24,lab_slots_ab_hist_rel_v2
5397,10,24,lab_slots_ab_hist_rel_v2
5667,1,24,lab_slots_ab_hist_rel_v2
5698,1,24,lab_slots_ab_hist_rel_v2
5713,-1,24,lab_slots_ab_hist_rel_v2
5726,10,24,lab_slots_ab_hist_rel_v2
5732,8,24,lab_slots_ab_hist_rel_v2
5737,-1,24,lab_slots_ab_hist_rel_v2
5762,10,24,lab_slots_ab_hist_rel_v2
5769,1,24,lab_slots_ab_hist_rel_v2
5783,10,24,lab_slots_ab_hist_rel_v2
5848,10,24,lab_slots_ab_hist_rel_v2
5850,10,24,lab_slots_ab_hist_rel_v2
5853,18,24,lab_slots_ab_hist_rel_v2
5860,22,24,lab_slots_ab_hist_rel_v2
7740,10,24,lab_slots_ab_hist_rel_v2
7742,-1,24,lab_slots_ab_hist_rel_v2
8048,0,24,lab_slots_ab_hist_rel_v2
8681,0,24,lab_slots_ab_hist_rel_v2
9179,-1,24,lab_slots_ab_hist_rel_v2
9180,-1,24,lab_slots_ab_hist_rel_v2
9199,1,24,lab_slots_ab_hist_rel_v2
9202,1,24,lab_slots_ab_hist_rel_v2
9214,9,24,lab_slots_ab_hist_rel_v2
9242,-1,24,lab_slots_ab_hist_rel_v2
9246,10,24,lab_slots_ab_hist_rel_v2
9248,1,24,lab_slots_ab_hist_rel_v2
9257,8,24,lab_slots_ab_hist_rel_v2
9284,-1,24,lab_slots_ab_hist_rel_v2
9286,22,24,lab_slots_ab_hist_rel_v2
