objectID,color_kmeans_cluster,color_kmeans_k,color_kmeans_feature_version
2292,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
2432,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
2473,3,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
2539,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
2635,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
2636,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
2646,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
2647,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
2737,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
3463,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
3469,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
3561,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
3563,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
3761,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
4480,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
4508,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
4585,3,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
4895,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
5397,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
5667,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
5698,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
5713,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
5726,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
5732,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
5737,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
5762,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
5769,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
5783,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
5848,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
5850,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
5853,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
5860,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
7740,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
7742,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
8048,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
8681,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
