objectId,department,title,final_group,objectBeginDate,objectEndDate,final_date,final_date_bucket_key,geo_options,geo_normalized_best_guess_location,geo_normalized_source_cols,geo_normalized_confidence,geo_normalized_geo_eligible,mapbox_feature_id,mapbox_place_name,geo_mapbox_lon,geo_mapbox_lat,geo_mapbox_relevance,geo_mapbox_accuracy,geo_mapbox_match_status,geo_mapbox_updated_at,color_eligible,top_color_hex,dominant_colors_hex,color_group_id,color_group_key,color_group_type,color_group_confidence
44793,Asian Art,Jar,jar,1,99,50,0:499,||||||||China||,China,culture,0.55,true,country.8753,People's Republic of China,101.901875,35.486703,1.0,country:1.00,matched,2026-04-27T16:46:34Z,False,,[],,,,
44817,Asian Art,Spouted Vessel,vessel,-2500,-1000,-1750,-2000:-1501,||||||||Japan||,Japan,culture,0.55,true,country.8820,Japan,138.59223,36.386493,1.0,country:1.00,matched,2026-04-27T16:46:48Z,True,#bca384,"[""#bca384"", ""#ac9374"", ""#b49b7c"", ""#fdfefe"", ""#c4ab8c"", ""#a48b6c"", ""#c3a483"", ""#9b8264""]",2.0,brown_tan,single,0.874821
44830,Asian Art,Jar,jar,90,310,200,0:499,||||||||Japan||,Japan,culture,0.55,true,country.8820,Japan,138.59223,36.386493,1.0,country:1.00,matched,2026-04-27T16:46:48Z,True,#5b2d13,"[""#5b2d13"", ""#c49b83"", ""#fefdfd"", ""#53240c"", ""#5c331b"", ""#63351b"", ""#552a13"", ""#caa38c""]",2.0,brown_tan,single,1.0
44862,Asian Art,Hanging Flower Holder (Hanaire) with Woman Holding a Flag,vase,1660,1679,1669,1500:1999,||||||||Japan||,Japan,culture,0.55,true,country.8820,Japan,138.59223,36.386493,1.0,country:1.00,matched,2026-04-27T16:46:48Z,True,#c2cbc5,"[""#c2cbc5"", ""#becac4"", ""#bbc6c3"", ""#c9ccc5"", ""#9badbb"", ""#a3b4bc"", ""#fdfdfd"", ""#c3ccc9""]",9.0,white,single,0.623514
44907,Asian Art,Jar,jar,-150,150,0,0:499,||||||||Japan||,Japan,culture,0.55,true,country.8820,Japan,138.59223,36.386493,1.0,country:1.00,matched,2026-04-27T16:46:48Z,False,,[],,,,
44953,Asian Art,Bottle with Tall Neck,bottle,400,699,549,500:999,||||||||Korea||,Korea,culture,0.55,true,country.8828,South Korea,128.168944,36.536236,1.0,country:1.00,matched,2026-04-27T16:46:49Z,True,#fdfdfd,"[""#fdfdfd"", ""#c49c73"", ""#bc946b"", ""#dcb383"", ""#e3b483"", ""#c49a6c"", ""#d4ac82"", ""#bb9364""]",2.0,brown_tan,single,0.863339
44973,Asian Art,Bell-Shaped Jar,jar,400,700,550,500:999,||||||||Korea||,Korea,culture,0.55,true,country.8828,South Korea,128.168944,36.536236,1.0,country:1.00,matched,2026-04-27T16:46:49Z,True,#9c7443,"[""#9c7443"", ""#835c2b"", ""#ac7c43"", ""#fdfdfd"", ""#94632b"", ""#9c6c33"", ""#8c6433"", ""#a3743b""]",3.0,orange,single,0.876049
44974,Asian Art,Pedestal jar with two handles,jar,400,599,499,0:499,||||||||Korea||,Korea,culture,0.55,true,country.8828,South Korea,128.168944,36.536236,1.0,country:1.00,matched,2026-04-27T16:46:49Z,True,#fefdfe,"[""#fefdfe"", ""#cbaca3"", ""#d3b4ab"", ""#a3837b"", ""#9c827c"", ""#6b544c"", ""#c3a49b"", ""#947364""]",4.0,red,single,0.780808
44977,Asian Art,Jar,jar,1700,1899,1799,1500:1999,||||||||Korea||,Korea,culture,0.55,true,country.8828,South Korea,128.168944,36.536236,1.0,country:1.00,matched,2026-04-27T16:46:49Z,True,#ccc4bb,"[""#ccc4bb"", ""#c4bcb3"", ""#c3bcbb"", ""#d3ccc3"", ""#bbb5b3"", ""#d5d2cc"", ""#9c8b74"", ""#93836c""]",8.0,gray,single,0.756698
45205,Asian Art,Large Storage Jar (Ōtsubo),jar,1350,1399,1374,1000:1499,||||||||Japan||,Japan,culture,0.55,true,country.8820,Japan,138.59223,36.386493,1.0,country:1.00,matched,2026-04-27T16:46:48Z,True,#7b654b,"[""#7b654b"", ""#836d53"", ""#725d43"", ""#6d5b43"", ""#75634b"", ""#826c4d"", ""#8c745b"", ""#6b5344""]",2.0,brown_tan,single,0.893507
45365,Asian Art,Storage Jar (Tsubo,jar,1100,1199,1149,1000:1499,||||||||Japan||,Japan,culture,0.55,true,country.8820,Japan,138.59223,36.386493,1.0,country:1.00,matched,2026-04-27T16:46:48Z,True,#544b2c,"[""#544b2c"", ""#5b5334"", ""#4c4324"", ""#645b3b"", ""#6c6343"", ""#746b4b"", ""#443b1c"", ""#7c7353""]",1.0,yellow,single,1.0
45432,Asian Art,Moon jar,jar,1750,1799,1774,1500:1999,||||||||Korea||,Korea,culture,0.55,true,country.8828,South Korea,128.168944,36.536236,1.0,country:1.00,matched,2026-04-27T16:46:49Z,True,#e4e5e2,"[""#e4e5e2"", ""#ececeb"", ""#ddddda"", ""#e1e2dd"", ""#d5d5d2"", ""#dadad5"", ""#d2d3cd"", ""#c2c3bd""]",9.0,white,single,1.0
