objectID,color_eligible,color_analysis_status,primary_image_url,bw_grayscale_ratio,top_color_hex,dominant_colors_hex,dominant_colors_share,color_group_id,color_group_label,no_bg_image_path,no_bg_image_exists,dominant_color_foreground_pixels
2292,True,eligible,https://images.metmuseum.org/CRDImages/ad/original/DP207937.jpg,0.05752800,#030302,"[""#030302"", ""#0b0b04"", ""#0c0c0a"", ""#0a0403"", ""#fefefe"", ""#13130c"", ""#141413"", ""#1b1b14""]","[0.15883, 0.039685, 0.03214, 0.03114, 0.030085, 0.02186, 0.02026, 0.016685]",3,yellow,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/2292_no_bg.png,True,281030
2432,True,eligible,https://images.metmuseum.org/CRDImages/ad/original/DP258508.jpg,0.86874800,#dcdcdc,"[""#dcdcdc"", ""#d4d3d4"", ""#e2e2e3"", ""#cccccc"", ""#b3b3b3"", ""#c4c4c4"", ""#acacab"", ""#a4a4a4""]","[0.066875, 0.05694, 0.048805, 0.04826, 0.0451, 0.044225, 0.043585, 0.04052]",0,red,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/2432_no_bg.png,True,305158
2473,True,eligible,https://images.metmuseum.org/CRDImages/ad/original/DP207935.jpg,0.73013600,#fefefe,"[""#fefefe"", ""#030302"", ""#2c1b03"", ""#3b2403"", ""#141513"", ""#4b3414"", ""#241303"", ""#331c03""]","[0.02143, 0.011825, 0.009925, 0.009455, 0.009265, 0.00921, 0.009045, 0.008775]",8,orange,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/2473_no_bg.png,True,233140
2539,True,eligible,https://images.metmuseum.org/CRDImages/ad/original/DP259092.jpg,0.40776400,#3b1b1b,"[""#3b1b1b"", ""#2c1414"", ""#431d1b"", ""#fdfdfd"", ""#5b2b24"", ""#53231d"", ""#532522"", ""#4c221d""]","[0.02159, 0.019845, 0.01973, 0.017455, 0.016045, 0.015855, 0.01568, 0.01542]",5,orange,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/2539_no_bg.png,True,281617
2561,False,bw_original,https://images.metmuseum.org/CRDImages/ad/original/150675.jpg,1.00000000,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/2561_no_bg.png,False,
2635,True,eligible,https://images.metmuseum.org/CRDImages/ad/original/DP-26112-001.jpg,0.00205200,#bdbdbb,"[""#bdbdbb"", ""#c4c4c2"", ""#aaaba5"", ""#a2a39d"", ""#adadaa"", ""#b2b2ad"", ""#9b9b95"", ""#a5a6a2""]","[0.073285, 0.069875, 0.05515, 0.052215, 0.049065, 0.047815, 0.0478, 0.04406]",7,gray,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/2635_no_bg.png,True,284149
2636,True,eligible,https://images.metmuseum.org/CRDImages/ad/original/DP235772.jpg,0.82323600,#c4c4c4,"[""#c4c4c4"", ""#bcbcbc"", ""#b4b4b4"", ""#acacac"", ""#a4a4a4"", ""#9c9c9c"", ""#cacacb"", ""#949494""]","[0.12106, 0.118, 0.07792, 0.06533, 0.06282, 0.04953, 0.0458, 0.0357]",0,red,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/2636_no_bg.png,True,336300
2646,False,bw_original,https://images.metmuseum.org/CRDImages/es/original/156516.jpg,1.00000000,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/2646_no_bg.png,False,
2647,False,bw_original,https://images.metmuseum.org/CRDImages/ad/original/156517.jpg,1.00000000,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/2647_no_bg.png,False,
2737,True,eligible,https://images.metmuseum.org/CRDImages/ad/original/ADA5412.jpg,0.00415200,#cbbba4,"[""#cbbba4"", ""#fdfdfd"", ""#cdbdaa"", ""#d5cab3"", ""#d2c3ac"", ""#c4b49b"", ""#d3c5b2"", ""#a39474""]","[0.01936, 0.01711, 0.016805, 0.01661, 0.01586, 0.015155, 0.01235, 0.010695]",9,white,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/2737_no_bg.png,True,300049
