objectID,department,objectName,title,final_group
44793,Asian Art,Jar,Jar,jar
44817,Asian Art,Vessel,Spouted Vessel,vessel
44830,Asian Art,Jar,Jar,jar
44862,Asian Art,Hanging flower vase,Hanging Flower Holder (Hanaire) with Woman Holding a Flag,vase
44907,Asian Art,Jar,Jar,jar
44953,Asian Art,Bottle,Bottle with Tall Neck,bottle
44973,Asian Art,Jar,Bell-Shaped Jar,jar
44974,Asian Art,Pedestal jar,Pedestal jar with two handles,jar
44977,Asian Art,Jar,Jar,jar
45205,Asian Art,Storage Jar,Large Storage Jar (Ōtsubo),jar
45365,Asian Art,Jar,Storage Jar (Tsubo,jar
45432,Asian Art,Jar,Moon jar,jar
45482,Asian Art,Sake bottle,Ninsei-style Sake Bottle with Floral Patterning,bottle
45484,Asian Art,Sake bottle,"Sake Bottle (Tokkuri) with “Three Friends of Winter” (Pine, Bamboo, and Plum)",bottle
45527,Asian Art,Sake bottle,Sake Bottle with Nanban (Southern Barbarian) Design,bottle
45529,Asian Art,Vessel,Deep Vessel with Decorative Handles,vessel
45550,Asian Art,Jar,Jar,jar
45552,Asian Art,Water jar,Water Jar with Chinese Scholars,jar
45553,Asian Art,Water jar,Freshwater Jar (Mizusashi) with the “Seven Sages of the Bamboo Grove”,jar
45554,Asian Art,Jar,Water Jar with Design of the Seven Sages in the Bamboo Grove,jar
45555,Asian Art,Water jar,Water Jar (Mizusashi) with the Seven Sages of the Bamboo Grove,jar
45556,Asian Art,Water jar,Water Jar with Lin Hejing (Lin Bu) and His Pet Crane,jar
45732,Asian Art,Bottle,Wine Bottle with Three Friends of Winter,bottle
45828,Asian Art,Vase with cover,Vase with cover,vase
45829,Asian Art,Vase,"Vase with pheasants, rocks, and flowers",vase
45830,Asian Art,Vase,Vase with birds and flowers,vase
45832,Asian Art,Vase,Gobular vase,vase
45896,Asian Art,Covered jar,Covered Jar,jar
45900,Asian Art,Vase,Vase with birds and flowers,vase
45904,Asian Art,Wine bottle,Wine bottle,bottle
45907,Asian Art,Vase,Vase,vase
45908,Asian Art,Vase,Vase with dragon and phoenix,vase
45909,Asian Art,Vase,Vase with ladies and boys,vase
45912,Asian Art,Vase,Meiping vase with floral scrolls,vase
45913,Asian Art,Vase,Meiping vase,vase
45914,Asian Art,Water pot,Water pot with three boys,pot
45915,Asian Art,Vase,Vase,vase
45917,Asian Art,Vase,Vase,vase
45918,Asian Art,Jar with cover,Jar with cover,jar
45919,Asian Art,Vase,Vase,vase
45923,Asian Art,Vase,Vase,vase
45929,Asian Art,Vase,Vase,vase
45930,Asian Art,Vase,Gourd-shaped vase,vase
45932,Asian Art,Vase,Vase,vase
45934,Asian Art,Vase,Hexagonal vase with lion-head handles,vase
45937,Asian Art,Vase,Vase with characters fortune (fu) and longevity (shou),vase
45938,Asian Art,Vase,Vase,vase
45939,Asian Art,Vase,Vase,vase
45959,Asian Art,Vase,Vase,vase
45962,Asian Art,Jar,Jar,jar
45964,Asian Art,Jar,Jar,jar
45965,Asian Art,Vase,Vase with entwined dragon,vase
45967,Asian Art,Jar,Large Pear-Shaped Jar,jar
45970,Asian Art,Jar with cover,Covered jar with plum blossoms,jar
45972,Asian Art,Vase,Vase,vase
45974,Asian Art,Water pot,Water Pot,pot
45977,Asian Art,Jar with cover,Jar with cover,jar
45979,Asian Art,Bottle,Bottle,bottle
45984,Asian Art,Vase,Vase with handles,vase
45985,Asian Art,Jar,Jar,jar
45986,Asian Art,Vase,Vase,vase
45987,Asian Art,Bottle,Bottle,bottle
45989,Asian Art,Water pot,Water Pot,pot
45990,Asian Art,Vase,Openwork vase with plants,vase
45992,Asian Art,Vase,Vase,vase
45994,Asian Art,Jar,Jar,jar
45997,Asian Art,Wine pot,Ewer with Dragon,pitcher
45998,Asian Art,Bottle,Bottle,bottle
45999,Asian Art,Vase,Large Vase,vase
46000,Asian Art,Vase,Vase,vase
46001,Asian Art,Water pot,Water Pot,pot
46003,Asian Art,Vase,Vase with dragon,vase
46004,Asian Art,Vase,Vase with flowers,vase
46008,Asian Art,Covered jar,Covered jar with birds and flowers,jar
46011,Asian Art,Jar,Jar,jar
46016,Asian Art,Jar,Jar with dragons,jar
46017,Asian Art,Jar,Jar with four lugs,jar
46021,Asian Art,Bottle,Bottle,bottle
46022,Asian Art,Bottle vase,Bottle vase,vase
46024,Asian Art,Vase,Vase with dragon,vase
46025,Asian Art,Vase,Vase with archaistic design,vase
46029,Asian Art,Jar,Jar,jar
46030,Asian Art,Vase,Meiping vase,vase
46032,Asian Art,Jar,Hill Jar,jar
46033,Asian Art,Jar,Jar with four lugs,jar
46040,Asian Art,Bottle vase,Bottle vase,vase
46042,Asian Art,Jar,Jar with Double Cover,jar
46043,Asian Art,Vase,Vase with openwork ornaments,vase
46044,Asian Art,Vase,Double gourd bottle with immortals,bottle
46045,Asian Art,Covered jar,Covered jar with narrative scenes,jar
46046,Asian Art,Jar,Jar with immortals,jar
46047,Asian Art,Covered jar,Covered jar with plum blossoms,jar
46048,Asian Art,Vase,Vase with landscape and flowers,vase
46049,Asian Art,Vase,Vase with auspicious symbols of Dragon Boat Festival (Duanwu),vase
46050,Asian Art,Vase,Vase with auspicious animals,vase
46051,Asian Art,Vase,Gu-shaped vase,vase
46053,Asian Art,Vase,Vase with landscape and bird-and-flower scenes,vase
46054,Asian Art,Vase,Vase,vase
46055,Asian Art,Covered jar,Covered jar,jar
46057,Asian Art,Bottle,Bottle,bottle
46058,Asian Art,Jar,Jar in the shape of bronze container (hu),jar
46059,Asian Art,Vase,Vase decorated with lotus flowers,vase
