objectID,title,use
2292,Covered bean pot,storage
2432,Covered Pitcher,pouring
2473,Covered slop jar,storage
2539,Tobacco Jar,storage
2635,Cream Pitcher,pouring
2636,Cream Pitcher,pouring
2646,Cream jug,pouring
2647,Creamer,pouring
2737,Creamer,pouring
3463,Apothecary Jar,storage
3469,Apothecary Jar,storage
3561,Ewer,pouring
3563,Ewer,pouring
3761,Flower Pot,other
4480,Chamber Pot,other
4508,Barrel,storage
4585,Jug,pouring
4895,Vase,vase
5397,Mustard Pot,storage
5667,Pitcher,pouring
5698,Pitcher,pouring
5713,Pitcher,pouring
5726,Pitcher,pouring
5732,Pitcher,pouring
5737,Pitcher,pouring
5762,Pitcher,pouring
5769,Pitcher,pouring
5783,Pitcher,pouring
5848,Pitcher,pouring
5850,Pitcher,pouring
5853,Pitcher,pouring
5860,Pitcher,pouring
7740,Spill Vase,vase
7742,Spill Vase,vase
8048,Syrup Jug,pouring
8681,Toddy Jug,wine_alcohol_water
9179,Urn,storage
9180,Urn,storage
9199,Flower Pot,other
9202,Vase,vase
9214,Vase,vase
9242,Vase,vase
9246,Vase,vase
9248,Vase,vase
9257,Vase,vase
9284,Vase,vase
9286,Vase,vase
9336,Vase,vase
9353,Vase,vase
9367,Vase,vase
9386,Vase,vase
9506,Vase,vase
9582,Covered Vase,storage
9584,Covered Vase,storage
9752,Water Bottle,wine_alcohol_water
13455,Ewer,pouring
14371,Pitcher,pouring
14828,Covered potpourri vase,storage
15595,Vase,vase
16298,Pitcher,pouring
16544,Vase,vase
17732,Vase,vase
18861,Pitcher,pouring
19001,Covered honey pot,storage
19071,Vase,vase
20076,Vase,vase
20637,Pitcher,pouring
20730,Pitcher,pouring
36446,Jar (Hu),storage
36452,Bottle with flattened side,flask_and_bottle
36454,Jar with Floral Design,storage
37398,Bottle,flask_and_bottle
37404,Vase with Incised and Impressed Designs,vase
37407,Stem Vase with Incised and Painted Design,vase
37425,Vessel with Flaring Foot,other
37431,Jar with Zoomorphic Handle and Spout,pouring
37432,Footed Urn,storage
37433,Footed Urn,storage
37434,Bottle,flask_and_bottle
37435,Bottle,flask_and_bottle
37436,Covered Lime Pot in the Form of a Rabbit,storage
37438,Vase with Cover,storage
37439,Covered Cylinderical Jar,storage
37442,Covered Jar,storage
37443,Anthropomorphic Bottle in Human Form,flask_and_bottle
37449,Footed Jar,storage
37450,Bottle with Waves and Auspicious Emblems,flask_and_bottle
37454,Bottle with Stopper,flask_and_bottle
37455,Bottle with Bulbous Neck,flask_and_bottle
37457,Bottle with Bulbous Neck,flask_and_bottle
37458,Bottle with Bulbous Neck,flask_and_bottle
37475,Covered Jar with Four Lugs,storage
37476,Covered Jar,storage
37477,Covered Jar,storage
37478,Covered Jar,storage
37479,Bulbous Jar with Narrow Neck,storage
37482,Covered Jar in the Form of a Bird,animal_shaped
37496,Covered Jar,storage
37510,Bottle with Three Lugs,flask_and_bottle
37524,Vessel with Lid,storage
37537,Jar,storage
37540,Jar with Cover,storage
37543,Bottle,flask_and_bottle
37555,Ewer,pouring
37557,Bottle with Birds and Peony Scroll,flask_and_bottle
37558,Ewer in the Form of a Phoenix,pouring
37563,Large Incised Jar,storage
37649,Pedestalled Vessel,other
37657,Jar,storage
38308,Covered Jar,storage
38546,Vase,vase
39484,Bottle with Peony and Rock,flask_and_bottle
39496,Bird-shaped vessel,animal_shaped
39500,Globular Jar,storage
39501,Globular Jar,storage
39505,Pedestal jar with handle and lid,storage
39506,Footed jar,storage
39510,Covered Urn,storage
39511,Covered urn with geometric decoration,storage
39512,Covered Jar,storage
39513,Covered urn with geometric decoration,storage
39520,Double-handled vessel,other
39521,Gourd-shaped bottle,flask_and_bottle
39524,Amphora,storage
39528,Jar with Handles,storage
39531,Bottle with abstract flowers and leaves,flask_and_bottle
39559,Vase,vase
39576,Water Jar,wine_alcohol_water
39589,Gourd-shaped ewer decorated with waterfowl and reeds,wine_alcohol_water
39590,Maebyeong (plum bottle) decorated with cranes and clouds,flask_and_bottle
39609,Ewer with Lotus Petal Collar,pouring
39631,Jar in the shape of bronze container (hu),storage
39666,Jar with dragon,storage
39885,Jar with grapevine decoration,storage
40074,Water Jar in the Shape of a Well Bucket,wine_alcohol_water
40082,Jar (Guan),storage
40083,Jug (Hu),pouring
40084,Vase with Buddhist figures,vase
40095,Jar,storage
40206,Small Jar (Guan),storage
40207,Small Jar (Guan),storage
40959,Wall Vase,vase
40960,Wall Vase,vase
41076,Snuff Bottle,flask_and_bottle
41749,Water Jar for the Tea Ceremony with Seven Sages of the Bamboo Grove Design,wine_alcohol_water
41753,Long-Necked Bottle with Design of Chinese Children Playing Outdoors,flask_and_bottle
42011,Bottle with cloud scrolls,flask_and_bottle
42190,Vase in Meiping Shape with Phoenix,vase
42191,Jar with Dragons and Floral Designs,storage
42192,Vase with dragon amid clouds,vase
42199,Vase with Mythical Creature Chasing Pearl,vase
42200,Vase with Butterflies,vase
42201,Vase with Scholars in Landscape,vase
42202,Bottle with Dragon Chasing Pearl,flask_and_bottle
42203,Vase with Flowers and Scholar’s Implements,vase
42204,Vase with Flowering Plants and Birds,vase
42205,Vase with Basket of Auspicious Flowers,vase
42206,Vase with Basket of Auspicious Flowers,vase
42207,Jar with Basket of Auspicious Flowers,storage
42208,Vase,vase
42209,Moon-Shaped Bottle,flask_and_bottle
42211,Vase,vase
42212,Gourd-Shaped Bottle,flask_and_bottle
42213,Vase,vase
42215,Vase in Shape of Archaic Bronze Vessel,vase
42216,Vase,vase
42217,Vase with Coiling Dragon,storage
42218,"Vase with design of ""Hundred Antiques""",vase
42220,Vase with flowers of the four seasons,vase
42221,Vase with flowers and birds of the four seasons,vase
42222,Vase with Rocks and Flowers,vase
42223,Vase with Plum Blossoms and Birds,vase
42224,Vase with alternating landscape and floral scenes,vase
42226,Vase in Meiping Shape,vase
